numXbins 34
numYbins 34
xbin  ybin  z
0  0  3.70376567286753056e-01
0  1  1.89298557320958349e-01
0  2  2.08291445142704590e-01
0  3  -2.73605081544868178e-01
0  4  -2.61673115934594080e-01
0  5  -1.71972124274823723e-01
0  6  3.72468310651462853e-02
0  7  1.15483981454404611e-01
0  8  9.79073663474000766e-02
0  9  7.73370777078608573e-02
0  10  1.85923365516774297e-01
0  11  0.00000000000000000e+00
0  12  0.00000000000000000e+00
0  13  0.00000000000000000e+00
0  14  0.00000000000000000e+00
0  15  0.00000000000000000e+00
0  16  0.00000000000000000e+00
0  17  0.00000000000000000e+00
0  18  0.00000000000000000e+00
0  19  0.00000000000000000e+00
0  20  0.00000000000000000e+00
0  21  0.00000000000000000e+00
0  22  0.00000000000000000e+00
0  23  0.00000000000000000e+00
0  24  0.00000000000000000e+00
0  25  0.00000000000000000e+00
0  26  0.00000000000000000e+00
0  27  0.00000000000000000e+00
0  28  0.00000000000000000e+00
0  29  0.00000000000000000e+00
0  30  0.00000000000000000e+00
0  31  0.00000000000000000e+00
0  32  0.00000000000000000e+00
0  33  0.00000000000000000e+00
1  0  -7.08506012194135421e-02
1  1  6.87814706280893251e-01
1  2  9.20541982054523533e-03
1  3  -2.02949157710543282e-01
1  4  -2.97608378889703706e-01
1  5  4.58247691602498008e-02
1  6  -3.81134947877198593e-02
1  7  2.56747217500349900e-02
1  8  2.51851790801940589e-01
1  9  6.22623140367875028e-02
1  10  1.59531401559000197e-01
1  11  0.00000000000000000e+00
1  12  0.00000000000000000e+00
1  13  0.00000000000000000e+00
1  14  0.00000000000000000e+00
1  15  0.00000000000000000e+00
1  16  0.00000000000000000e+00
1  17  0.00000000000000000e+00
1  18  0.00000000000000000e+00
1  19  0.00000000000000000e+00
1  20  0.00000000000000000e+00
1  21  0.00000000000000000e+00
1  22  0.00000000000000000e+00
1  23  0.00000000000000000e+00
1  24  0.00000000000000000e+00
1  25  0.00000000000000000e+00
1  26  0.00000000000000000e+00
1  27  0.00000000000000000e+00
1  28  0.00000000000000000e+00
1  29  0.00000000000000000e+00
1  30  0.00000000000000000e+00
1  31  0.00000000000000000e+00
1  32  0.00000000000000000e+00
1  33  0.00000000000000000e+00
2  0  -1.35616207656452173e-02
2  1  6.05502987294535347e-02
2  2  4.06034057655719649e-01
2  3  -9.36201069997532054e-02
2  4  -1.93380901692001672e-01
2  5  4.52383449136420923e-02
2  6  -9.14306434219619435e-02
2  7  5.33268439812746298e-02
2  8  2.48340469656330720e-01
2  9  1.77857983717948809e-01
2  10  5.47750468783536615e-03
2  11  0.00000000000000000e+00
2  12  0.00000000000000000e+00
2  13  0.00000000000000000e+00
2  14  0.00000000000000000e+00
2  15  0.00000000000000000e+00
2  16  0.00000000000000000e+00
2  17  0.00000000000000000e+00
2  18  0.00000000000000000e+00
2  19  0.00000000000000000e+00
2  20  0.00000000000000000e+00
2  21  0.00000000000000000e+00
2  22  0.00000000000000000e+00
2  23  0.00000000000000000e+00
2  24  0.00000000000000000e+00
2  25  0.00000000000000000e+00
2  26  0.00000000000000000e+00
2  27  0.00000000000000000e+00
2  28  0.00000000000000000e+00
2  29  0.00000000000000000e+00
2  30  0.00000000000000000e+00
2  31  0.00000000000000000e+00
2  32  0.00000000000000000e+00
2  33  0.00000000000000000e+00
3  0  -1.55358665634036053e-01
3  1  2.92005543353471841e-02
3  2  1.20189498067395026e-01
3  3  2.57953730184163788e-01
3  4  4.79002824661231563e-02
3  5  -1.30800394543129223e-01
3  6  -4.59779263411141392e-02
3  7  2.12818142054126497e-01
3  8  -1.15015033670751166e-02
3  9  2.90344161662267564e-01
3  10  -7.26248556259451172e-02
3  11  0.00000000000000000e+00
3  12  0.00000000000000000e+00
3  13  0.00000000000000000e+00
3  14  0.00000000000000000e+00
3  15  0.00000000000000000e+00
3  16  0.00000000000000000e+00
3  17  0.00000000000000000e+00
3  18  0.00000000000000000e+00
3  19  0.00000000000000000e+00
3  20  0.00000000000000000e+00
3  21  0.00000000000000000e+00
3  22  0.00000000000000000e+00
3  23  0.00000000000000000e+00
3  24  0.00000000000000000e+00
3  25  0.00000000000000000e+00
3  26  0.00000000000000000e+00
3  27  0.00000000000000000e+00
3  28  0.00000000000000000e+00
3  29  0.00000000000000000e+00
3  30  0.00000000000000000e+00
3  31  0.00000000000000000e+00
3  32  0.00000000000000000e+00
3  33  0.00000000000000000e+00
4  0  -2.26499786668102082e-01
4  1  3.65239368177063817e-02
4  2  7.65897249521971524e-02
4  3  -4.80595483104895860e-02
4  4  3.65771869009091311e-01
4  5  -1.38314031726410602e-02
4  6  8.86414085636035298e-02
4  7  2.13322854030922326e-02
4  8  1.38640650458331183e-01
4  9  1.28588570480465569e-01
4  10  2.18527676578772478e-02
4  11  0.00000000000000000e+00
4  12  0.00000000000000000e+00
4  13  0.00000000000000000e+00
4  14  0.00000000000000000e+00
4  15  0.00000000000000000e+00
4  16  0.00000000000000000e+00
4  17  0.00000000000000000e+00
4  18  0.00000000000000000e+00
