numXbins 34
numYbins 34
xbin  ybin  z
0  0  4.66166301487124304e-03
0  1  3.52002844193179728e-03
0  2  3.42543399933030977e-03
0  3  9.55973665121702008e-04
0  4  1.18942604241717583e-03
0  5  3.20215876079897859e-03
0  6  2.96398763891116829e-03
0  7  2.89810975761203632e-03
0  8  3.51673726434999136e-03
0  9  3.00605836151456854e-03
0  10  2.83241138272259836e-03
0  11  2.51491323264027827e-03
0  12  4.48507680839442101e-03
0  13  4.48691756343094252e-03
0  14  7.31115965862508699e-03
0  15  8.00989111027404672e-03
0  16  3.26101089654809266e-03
0  17  4.75031716576313802e-03
0  18  3.91062290621617317e-03
0  19  4.26756755952542588e-03
0  20  5.91460056390287221e-03
0  21  3.43105014132099239e-03
0  22  4.10985056902633209e-03
0  23  1.77134561861026080e-02
0  24  6.11643857214405943e-04
0  25  2.13574628636855474e-03
0  26  8.05488202374093215e-03
0  27  2.70243027500855024e-03
0  28  5.46417783272621239e-03
0  29  4.62869938931979429e-03
0  30  5.67086585391353686e-03
0  31  4.11183990187855269e-03
0  32  3.41322231925251206e-03
0  33  4.85496803881462023e-03
1  0  3.52002844193179815e-03
1  1  8.36338473966424627e-03
1  2  2.56354819840578108e-03
1  3  2.43118433843605942e-03
1  4  2.09201425517933307e-03
1  5  3.50132614029600607e-03
1  6  2.55114269508664076e-03
1  7  3.01481983474851008e-03
1  8  3.76540521997796715e-03
1  9  3.41126454986931220e-03
1  10  2.82630499340110961e-03
1  11  2.66576755627171477e-03
1  12  4.35651843279980227e-03
1  13  5.49287535689136838e-03
1  14  6.56431874965534862e-03
1  15  9.71128229078837765e-03
1  16  3.04735111022432685e-03
1  17  4.10740844985626932e-03
1  18  5.55440730230574286e-03
1  19  4.06652354733157140e-03
1  20  4.26370918966077761e-03
1  21  3.86126370455113681e-03
1  22  4.30673128941432438e-03
1  23  1.07407401301051700e-02
1  24  9.67945963988846433e-04
1  25  1.90628712149917704e-03
1  26  1.63178829245499632e-02
1  27  1.91489395492482647e-03
1  28  4.64877527713460081e-03
1  29  3.72813949391405559e-03
1  30  5.20477212440422464e-03
1  31  3.87471872418399367e-03
1  32  4.35167059769179815e-03
1  33  3.78019874845166243e-03
2  0  3.42543399933031064e-03
2  1  2.56354819840577978e-03
2  2  3.52649082677041403e-03
2  3  1.39118966663232479e-03
2  4  1.10938800516216561e-03
2  5  3.38461216327897579e-03
2  6  2.21219574912372109e-03
2  7  2.85086684207595375e-03
2  8  3.32553633639620866e-03
2  9  3.03356385520385258e-03
2  10  2.50546026741845255e-03
2  11  2.42006505925987511e-03
2  12  2.68699743209435205e-03
2  13  3.79489654822988539e-03
2  14  5.08378180429268356e-03
2  15  9.15042721574090695e-03
2  16  2.56932646222991995e-03
2  17  3.47691961509000473e-03
2  18  2.89997282636804540e-03
2  19  4.47138206671688233e-03
2  20  5.24875994390116511e-03
2  21  3.58663105176947614e-03
2  22  3.72160269294938414e-03
2  23  1.19620416669063215e-02
2  24  1.61238868649193293e-03
2  25  1.79493513318462923e-03
2  26  1.10983622448153144e-02
2  27  2.10026642694560251e-03
2  28  4.89123683441087566e-03
2  29  4.21344778807366399e-03
2  30  5.86023218424231492e-03
2  31  4.37328556998277211e-03
2  32  3.24938438854784984e-03
2  33  3.71683590500843878e-03
3  0  9.55973665121702008e-04
3  1  2.43118433843606072e-03
3  2  1.39118966663232479e-03
3  3  2.33608051119674502e-03
3  4  9.77903051937929670e-04
3  5  9.35179633762172691e-04
3  6  4.62255918111351550e-04
3  7  2.14110907400460321e-03
3  8  1.27764980056267350e-03
3  9  2.09842761664467276e-03
3  10  9.79303907284203657e-04
3  11  1.65525881765437558e-03
3  12  2.02530505346902243e-03
3  13  3.15083666957262842e-03
3  14  3.37818986207644948e-03
3  15  6.81696466399225008e-03
3  16  1.70184862717048888e-03
3  17  6.39705817435377052e-04
3  18  1.86879221744612987e-03
3  19  2.83688925868544111e-03
3  20  2.48983671227657327e-03
3  21  2.66106903737280262e-03
3  22  2.32349132145539920e-03
3  23  2.93782895714380645e-03
3  24  1.53332709613784304e-03
3  25  1.33062782133195234e-03
3  26  3.77310686263716789e-03
3  27  4.80651635341079189e-04
3  28  2.17417617063605552e-03
3  29  2.20305132147768706e-03
3  30  3.81573893660932173e-03
3  31  2.93761855366443973e-03
3  32  2.15161753337712479e-03
3  33  1.35409294077255891e-03
4  0  1.18942604241717518e-03
4  1  2.09201425517933307e-03
4  2  1.10938800516216626e-03
4  3  9.77903051937929453e-04
4  4  1.57379041318213742e-03
4  5  1.51402895554734454e-03
4  6  1.62298360560106424e-03
4  7  1.43619317063917434e-03
4  8  2.25877088126828557e-03
4  9  1.76147837507141720e-03
4  10  1.23100029367662327e-03
4  11  1.15293235091065249e-03
4  12  2.97882704817330375e-03
4  13  2.67211427409126028e-03
4  14  4.69177735245216495e-03
4  15  4.73210387413553184e-03
4  16  1.69800337259110468e-03
4  17  2.24249207696416595e-03
4  18  2.75922626547521086e-03
4  19  2.45291015841385494e-03
4  20  3.08422769033111447e-03
4  21  1.68514149022445004e-03
4  22  1.65176375718619839e-03
4  23  7.64206911373728742e-03
4  24  6.23416524081546182e-04
4  25  1.34742749582919107e-03
4  26  5.81659744422241814e-03
4  27  1.09682226248871491e-03
4  28  2.46196568181281409e-03
4  29  2.61378118517327680e-03
4  30  2.96235452065634567e-03
4  31  2.38159020720587556e-03
4  32  1.51085536754470558e-03
4  33  2.05281498493182016e-03
5  0  3.20215876079897772e-03
5  1  3.50132614029600563e-03
5  2  3.38461216327897449e-03
5  3  9.35179633762172149e-04
5  4  1.51402895554734345e-03
5  5  5.47975220238138602e-03
5  6  2.96210191836741247e-03
5  7  3.01382060602339201e-03
5  8  3.52487881125750861e-03
5  9  2.80036453347969755e-03
5  10  3.21064904686606820e-03
5  11  2.80883795568864086e-03
5  12  2.84256985953006743e-03
5  13  4.37541389989497872e-03
5  14  5.12549603514711981e-03
5  15  1.00149712922836427e-02
5  16  1.89162312196647104e-03
5  17  4.53143796211110967e-03
5  18  3.60461115511679156e-03
5  19  4.50932672020678237e-03
5  20  6.41573494261492034e-03
5  21  3.60158361118549392e-03
5  22  4.27662826826756288e-03
5  23  1.50900922684703582e-02
5  24  9.91645911107896794e-04
5  25  1.51860015786223906e-03
5  26  1.82141665431485543e-02
5  27  2.91303856284358832e-03
5  28  6.30520737203281618e-03
5  29  5.46953007488801702e-03
5  30  5.95607664332135217e-03
5  31  4.75755832922382816e-03
5  32  3.95921129813407453e-03
5  33  4.30351268306024617e-03
6  0  2.96398763891116699e-03
6  1  2.55114269508664076e-03
6  2  2.21219574912372196e-03
6  3  4.62255918111351117e-04
6  4  1.62298360560106250e-03
6  5  2.96210191836741204e-03
6  6  3.67631568670931603e-03
6  7  2.31241509624062870e-03
6  8  3.30610610337099629e-03
6  9  2.42057887701657313e-03
6  10  2.39933179729510167e-03
6  11  1.68783572835491387e-03
6  12  3.73936156813626554e-03
6  13  3.45030701372343700e-03
6  14  6.44411243375834619e-03
6  15  7.16109635184605884e-03
6  16  2.09555682512052458e-03
6  17  4.31689694298590353e-03
6  18  3.77956401543142048e-03
6  19  3.53595891147182213e-03
6  20  5.20578566546772443e-03
6  21  2.29083222853955666e-03
6  22  2.70427302092489169e-03
6  23  1.52741935279890016e-02
6  24  2.08703442586381820e-04
6  25  1.64142544775446302e-03
6  26  9.99586022465776512e-03
6  27  2.22418073470083584e-03
6  28  4.34609349212720236e-03
6  29  4.07436208627914853e-03
6  30  4.22302854456588390e-03
6  31  3.38156605588836633e-03
6  32  2.42668711580291659e-03
6  33  3.61710021173757392e-03
7  0  2.89810975761203588e-03
7  1  3.01481983474850878e-03
7  2  2.85086684207595331e-03
7  3  2.14110907400460321e-03
7  4  1.43619317063917347e-03
7  5  3.01382060602339071e-03
7  6  2.31241509624062827e-03
7  7  3.65969783548972293e-03
7  8  2.97112603382723326e-03
7  9  3.15660590870987324e-03
7  10  2.32142392845499602e-03
7  11  2.42244764338405512e-03
7  12  3.86894736458708163e-03
7  13  4.50408255059471605e-03
7  14  6.81226505253713401e-03
